Typical Measured Spectrum of Semrock FF01-492/SP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 1e-6 (Optical Density 6) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
270.0	9.9708e-06
270.2	8.568e-06
270.4	7.3626e-06
270.6	6.3268e-06
270.8	5.4367e-06
271.0	4.6718e-06
271.2	4.0145e-06
271.4	3.4497e-06
271.6	2.9644e-06
271.8	2.5473e-06
272.0	2.9351e-06
272.2	3.4128e-06
272.4	3.9682e-06
272.6	4.614e-06
272.8	5.3649e-06
273.0	6.238e-06
273.2	7.2532e-06
273.4	8.4336e-06
273.6	9.8062e-06
273.8	1.1402e-05
274.0	1.027e-05
274.2	8.6069e-06
274.4	7.2134e-06
274.6	6.0455e-06
274.8	5.0667e-06
275.0	4.2463e-06
275.2	3.5588e-06
275.4	2.9826e-06
275.6	2.4997e-06
275.8	2.095e-06
276.0	1.9379e-06
276.2	1.9172e-06
276.4	1.8967e-06
276.6	1.8764e-06
276.8	1.8563e-06
277.0	1.8364e-06
277.2	1.8168e-06
277.4	1.7973e-06
277.6	1.7781e-06
277.8	1.759e-06
278.0	1.7363e-06
278.2	1.7083e-06
278.4	1.6807e-06
278.6	1.6536e-06
278.8	1.6269e-06
279.0	1.6006e-06
279.2	1.5748e-06
279.4	1.5494e-06
279.6	1.5244e-06
279.8	1.4998e-06
280.0	8.0524e-06
280.2	6.5909e-06
280.4	5.3947e-06
280.6	4.4156e-06
280.8	3.6142e-06
281.0	2.9582e-06
281.2	2.4213e-06
281.4	1.9819e-06
281.6	1.6222e-06
281.8	1.3277e-06
282.0	1.2838e-06
282.2	1.2595e-06
282.4	1.2356e-06
282.6	1.2121e-06
282.8	1.1892e-06
283.0	1.1666e-06
283.2	1.1445e-06
283.4	1.1228e-06
283.6	1.1015e-06
283.8	1.0806e-06
284.0	1.3241e-06
284.2	1.7578e-06
284.4	2.3337e-06
284.6	3.0983e-06
284.8	4.1133e-06
285.0	5.4609e-06
285.2	7.2499e-06
285.4	9.6251e-06
285.6	1.2778e-05
285.8	1.6965e-05
286.0	1.8162e-05
286.2	1.6362e-05
286.4	1.474e-05
286.6	1.3279e-05
286.8	1.1963e-05
287.0	1.0777e-05
287.2	9.7094e-06
287.4	8.7471e-06
287.6	7.8802e-06
287.8	7.0992e-06
288.0	6.089e-06
288.2	4.8121e-06
288.4	3.803e-06
288.6	3.0055e-06
288.8	2.3752e-06
289.0	1.8771e-06
289.2	1.4835e-06
289.4	1.1724e-06
289.6	9.2654e-07
289.8	7.3224e-07
290.0	7.5204e-06
290.2	7.5278e-06
290.4	7.5351e-06
290.6	7.5425e-06
290.8	7.5499e-06
291.0	7.5572e-06
291.2	7.5646e-06
291.4	7.572e-06
291.6	7.5794e-06
291.8	7.5868e-06
292.0	6.9803e-06
292.2	6.3785e-06
292.4	5.8285e-06
292.6	5.326e-06
292.8	4.8668e-06
293.0	4.4472e-06
293.2	4.0638e-06
293.4	3.7134e-06
293.6	3.3933e-06
293.8	3.1007e-06
294.0	3.1876e-06
294.2	3.4117e-06
294.4	3.6515e-06
294.6	3.9083e-06
294.8	4.183e-06
295.0	4.4771e-06
295.2	4.7919e-06
295.4	5.1288e-06
295.6	5.4894e-06
295.8	5.8753e-06
296.0	5.1016e-06
296.2	3.7832e-06
296.4	2.8055e-06
296.6	2.0805e-06
296.8	1.5429e-06
297.0	1.1441e-06
297.2	8.4847e-07
297.4	6.292e-07
297.6	4.666e-07
297.8	3.4602e-07
298.0	3.2214e-07
298.2	4.2492e-07
298.4	5.6048e-07
298.6	7.393e-07
298.8	9.7517e-07
299.0	1.2863e-06
299.2	1.6967e-06
299.4	2.238e-06
299.6	2.952e-06
299.8	3.8938e-06
300.0	2.3692e-06
300.2	2.1347e-06
300.4	1.9233e-06
300.6	1.7329e-06
300.8	1.5613e-06
301.0	1.4067e-06
301.2	1.2674e-06
301.4	1.1419e-06
301.6	1.0289e-06
301.8	9.27e-07
302.0	7.9997e-07
302.2	6.8777e-07
302.4	5.913e-07
302.6	5.0836e-07
302.8	4.3706e-07
303.0	3.7575e-07
303.2	3.2305e-07
303.4	2.7774e-07
303.6	2.3878e-07
303.8	2.0529e-07
304.0	2.3997e-07
304.2	3.1162e-07
304.4	4.0467e-07
304.6	5.2549e-07
304.8	6.824e-07
305.0	8.8614e-07
305.2	1.1507e-06
305.4	1.4943e-06
305.6	1.9405e-06
305.8	2.5199e-06
306.0	2.7625e-06
306.2	2.6652e-06
306.4	2.5714e-06
306.6	2.4809e-06
306.8	2.3936e-06
307.0	2.3094e-06
307.2	2.2281e-06
307.4	2.1496e-06
307.6	2.074e-06
307.8	2.001e-06
308.0	2.2683e-06
308.2	3.2583e-06
308.4	4.6806e-06
308.6	6.7237e-06
308.8	9.6585e-06
309.0	1.3874e-05
309.2	1.9931e-05
309.4	2.863e-05
309.6	4.1127e-05
309.8	5.9079e-05
310.0	4.3841e-05
310.2	4.572e-05
310.4	4.768e-05
310.6	4.9723e-05
310.8	5.1854e-05
311.0	5.2675e-05
311.2	5.1169e-05
311.4	4.9706e-05
311.6	4.8284e-05
311.8	4.6903e-05
312.0	4.5562e-05
312.2	4.4259e-05
312.4	4.335e-05
312.6	4.4269e-05
312.8	4.5207e-05
313.0	4.6166e-05
313.2	4.7145e-05
313.4	4.8144e-05
313.6	4.9165e-05
313.8	5.0207e-05
314.0	5.75e-05
314.2	6.6167e-05
314.4	7.6141e-05
314.6	8.7618e-05
314.8	1.0083e-04
315.0	1.1602e-04
315.2	1.3351e-04
315.4	1.4794e-04
315.6	1.6197e-04
315.8	1.7734e-04
316.0	1.9417e-04
316.2	2.1259e-04
316.4	2.3276e-04
316.6	2.5485e-04
316.8	3.0849e-04
317.0	4.0407e-04
317.2	5.2926e-04
317.4	6.9324e-04
317.6	9.0802e-04
317.8	0.00119
318.0	0.00156
318.2	0.00209
318.4	0.00294
318.6	0.00413
318.8	0.0058
319.0	0.00815
319.2	0.01145
319.4	0.01608
319.6	0.02187
319.8	0.02522
320.0	0.02909
320.2	0.03232
320.4	0.03505
320.6	0.03801
320.8	0.04048
321.0	0.04268
321.2	0.04501
321.4	0.03816
321.6	0.02919
321.8	0.02233
322.0	0.01736
322.2	0.01358
322.4	0.01062
322.6	0.01042
322.8	0.01099
323.0	0.0116
323.2	0.018
323.4	0.03091
323.6	0.05311
323.8	0.04315
324.0	0.02992
324.2	0.02074
324.4	0.01654
324.6	0.01349
324.8	0.011
325.0	0.00853
325.2	0.00657
325.4	0.00506
325.6	0.00279
325.8	0.0015
326.0	8.1011e-04
326.2	6.7674e-04
326.4	5.7304e-04
326.6	4.8537e-04
326.8	4.3417e-04
327.0	3.8837e-04
327.2	3.4566e-04
327.4	2.7647e-04
327.6	2.2113e-04
327.8	1.8191e-04
328.0	2.0666e-04
328.2	2.3478e-04
328.4	2.7053e-04
328.6	3.4591e-04
328.8	4.423e-04
329.0	5.233e-04
329.2	4.055e-04
329.4	3.1421e-04
329.6	2.6295e-04
329.8	3.0236e-04
330.0	3.4768e-04
330.2	3.1821e-04
330.4	3.062e-04
330.6	3.188e-04
330.8	2.9245e-04
331.0	2.8339e-04
331.2	2.6932e-04
331.4	2.6983e-04
331.6	2.367e-04
331.8	2.5709e-04
332.0	2.594e-04
332.2	2.3094e-04
332.4	2.1526e-04
332.6	2.4767e-04
332.8	2.3645e-04
333.0	2.3719e-04
333.2	2.4852e-04
333.4	2.4116e-04
333.6	2.5512e-04
333.8	2.8457e-04
334.0	2.5542e-04
334.2	2.6616e-04
334.4	3.0798e-04
334.6	3.2897e-04
334.8	4.4052e-04
335.0	5.2801e-04
335.2	5.6041e-04
335.4	5.5523e-04
335.6	5.5038e-04
335.8	5.9897e-04
336.0	6.5295e-04
336.2	7.1378e-04
336.4	8.4092e-04
336.6	0.00117
336.8	0.00257
337.0	0.00985
337.2	0.02865
337.4	0.02801
337.6	0.01697
337.8	0.01304
338.0	0.0126
338.2	0.01345
338.4	0.01452
338.6	0.01543
338.8	0.01634
339.0	0.0183
339.2	0.02338
339.4	0.03458
339.6	0.06388
339.8	0.15362
340.0	0.33669
340.2	0.31685
340.4	0.14851
340.6	0.07114
340.8	0.04271
341.0	0.03042
341.2	0.0242
341.4	0.02022
341.6	0.01749
341.8	0.01483
342.0	0.01222
342.2	0.0096
342.4	0.00762
342.6	0.00585
342.8	0.00478
343.0	0.00403
343.2	0.00357
343.4	0.00338
343.6	0.00325
343.8	0.00331
344.0	0.00326
344.2	0.00318
344.4	0.0031
344.6	0.00295
344.8	0.0027
345.0	0.00242
345.2	0.00208
345.4	0.00176
345.6	0.00139
345.8	0.00112
346.0	9.1344e-04
346.2	7.5392e-04
346.4	6.6652e-04
346.6	5.9985e-04
346.8	5.9849e-04
347.0	5.751e-04
347.2	6.2546e-04
347.4	6.9343e-04
347.6	8.3033e-04
347.8	0.00103
348.0	0.0013
348.2	0.00171
348.4	0.00226
348.6	0.00279
348.8	0.00341
349.0	0.00401
349.2	0.00436
349.4	0.0043
349.6	0.00391
349.8	0.00325
350.0	0.00215
350.2	0.00202
350.4	0.0019
350.6	0.00179
350.8	0.00169
351.0	0.00159
351.2	0.0015
351.4	0.00141
351.6	0.00133
351.8	0.00125
352.0	9.9335e-04
352.2	7.7443e-04
352.4	6.0376e-04
352.6	4.707e-04
352.8	3.6696e-04
353.0	2.8609e-04
353.2	2.2304e-04
353.4	1.7389e-04
353.6	1.3556e-04
353.8	1.0569e-04
354.0	9.1934e-05
354.2	8.2945e-05
354.4	7.4835e-05
354.6	6.7517e-05
354.8	6.0916e-05
355.0	5.4959e-05
355.2	4.9585e-05
355.4	4.4737e-05
355.6	4.0363e-05
355.8	3.6416e-05
356.0	3.2377e-05
356.2	2.8517e-05
356.4	2.5117e-05
356.6	2.2122e-05
356.8	1.9485e-05
357.0	1.7162e-05
357.2	1.5116e-05
