W	Tr
350.0000	0.09707
351.0000	0.07833
352.0000	0.11706
353.0000	0.13491
354.0000	0.09499
355.0000	0.07194
356.0000	0.08977
357.0000	0.18980
358.0000	0.27316
359.0000	0.26746
360.0000	0.37544
361.0000	0.89573
362.0000	1.31433
363.0000	0.97530
364.0000	0.60559
365.0000	1.13210
366.0000	2.69219
367.0000	3.61300
368.0000	2.63188
369.0000	1.55558
370.0000	1.07987
371.0000	0.78121
372.0000	0.67271
373.0000	0.84805
374.0000	1.73451
375.0000	3.66236
376.0000	5.87133
377.0000	7.56515
378.0000	9.15245
379.0000	10.10740
380.0000	9.60728
381.0000	8.81629
382.0000	10.98270
383.0000	18.64160
384.0000	30.15500
385.0000	39.69280
386.0000	44.72880
387.0000	50.06180
388.0000	47.88510
389.0000	30.52690
390.0000	13.07200
391.0000	6.92788
392.0000	5.18994
393.0000	7.48339
394.0000	16.29280
395.0000	23.28060
396.0000	15.20690
397.0000	5.89160
398.0000	7.35160
399.0000	15.02960
400.0000	12.65830
401.0000	3.28002
402.0000	0.44149
403.0000	0.20485
404.0000	0.11582
405.0000	0.10283
406.0000	0.11434
407.0000	0.08961
408.0000	0.11892
409.0000	0.09035
410.0000	0.11521
411.0000	0.17456
412.0000	0.28141
413.0000	0.48094
414.0000	1.09590
415.0000	2.82629
416.0000	7.42805
417.0000	17.02110
418.0000	30.19210
419.0000	40.90160
420.0000	47.41830
421.0000	52.87840
422.0000	63.91680
423.0000	78.92340
424.0000	89.44970
425.0000	93.71340
426.0000	94.76120
427.0000	94.77080
428.0000	94.67130
429.0000	94.45520
430.0000	94.52590
431.0000	94.67360
432.0000	95.41620
433.0000	95.63210
434.0000	95.81040
435.0000	95.80760
436.0000	95.71950
437.0000	95.88760
438.0000	95.89360
439.0000	96.24060
440.0000	96.76570
441.0000	97.10460
442.0000	97.28750
443.0000	96.96160
444.0000	96.84580
445.0000	96.59780
446.0000	97.08570
447.0000	97.22810
448.0000	97.18040
449.0000	96.90060
450.0000	96.42070
451.0000	96.32960
452.0000	96.24180
453.0000	96.76500
454.0000	97.04760
455.0000	97.44010
456.0000	97.60100
457.0000	97.25810
458.0000	96.97590
459.0000	97.06210
460.0000	97.26200
461.0000	97.47470
462.0000	97.61670
463.0000	97.51390
464.0000	97.21120
465.0000	96.96240
466.0000	96.90720
467.0000	96.78180
468.0000	96.83760
469.0000	96.89090
470.0000	96.86620
471.0000	96.81660
472.0000	96.88510
473.0000	96.96640
474.0000	96.81320
475.0000	96.88120
476.0000	96.95010
477.0000	96.94840
478.0000	96.71280
479.0000	96.64970
480.0000	96.46720
481.0000	96.70080
482.0000	96.91530
483.0000	96.72150
484.0000	96.69230
485.0000	96.52110
486.0000	96.38200
487.0000	96.20310
488.0000	96.13540
489.0000	96.16430
490.0000	96.37810
491.0000	96.31660
492.0000	96.42240
493.0000	96.33390
494.0000	96.36540
495.0000	96.23170
496.0000	96.25090
497.0000	96.35400
498.0000	96.30650
499.0000	96.28180
500.0000	96.42870
501.0000	96.41560
502.0000	96.39450
503.0000	96.55430
504.0000	96.35450
505.0000	96.13750
506.0000	95.99570
507.0000	95.80460
508.0000	95.86950
509.0000	95.96280
510.0000	95.43820
511.0000	92.86680
512.0000	84.83280
513.0000	72.39780
514.0000	56.11600
515.0000	41.39720
516.0000	29.42470
517.0000	20.32080
518.0000	14.68580
519.0000	10.55030
520.0000	7.99256
521.0000	6.28928
522.0000	5.11402
523.0000	4.26983
524.0000	3.73857
525.0000	3.32423
526.0000	3.05599
527.0000	2.90401
528.0000	2.84152
529.0000	2.85181
530.0000	2.95509
531.0000	3.11219
532.0000	3.39187
533.0000	3.81266
534.0000	4.38914
535.0000	5.15580
536.0000	6.26609
537.0000	7.74748
538.0000	9.90809
539.0000	13.16400
540.0000	17.52110
541.0000	23.45720
542.0000	30.74080
543.0000	38.35860
544.0000	46.72630
545.0000	55.50420
546.0000	63.85480
547.0000	73.03380
548.0000	81.49930
549.0000	88.60120
550.0000	92.77570
551.0000	94.38980
552.0000	94.82070
553.0000	95.12360
554.0000	95.87980
555.0000	96.41730
556.0000	97.09940
557.0000	97.12210
558.0000	96.95240
559.0000	96.59830
560.0000	96.50050
561.0000	95.96060
562.0000	95.70640
563.0000	95.77350
564.0000	96.28430
565.0000	96.53280
566.0000	96.78460
567.0000	96.84940
568.0000	96.74340
569.0000	96.68380
570.0000	96.56390
571.0000	96.50640
572.0000	96.55920
573.0000	96.43010
574.0000	96.29660
575.0000	96.56130
576.0000	96.74390
577.0000	96.90300
578.0000	96.84900
579.0000	96.95130
580.0000	97.02310
581.0000	97.02180
582.0000	97.20060
583.0000	97.20950
584.0000	97.08700
585.0000	96.98680
586.0000	96.76210
587.0000	96.70650
588.0000	96.35680
589.0000	96.40220
590.0000	96.47530
591.0000	96.36440
592.0000	96.47200
593.0000	96.09400
594.0000	96.15550
595.0000	95.90070
596.0000	96.28260
597.0000	96.05990
598.0000	96.43850
599.0000	96.39040
600.0000	96.58760
601.0000	96.91120
602.0000	96.35290
603.0000	97.12590
604.0000	96.29640
605.0000	96.87950
606.0000	96.73470
607.0000	96.72210
608.0000	96.84100
609.0000	96.97070
610.0000	97.29660
611.0000	96.83830
612.0000	97.65990
613.0000	97.08780
614.0000	96.89940
615.0000	97.37420
616.0000	96.95690
617.0000	96.78990
618.0000	96.84670
619.0000	96.70290
620.0000	96.86400
621.0000	97.43490
622.0000	97.06160
623.0000	96.61990
624.0000	96.58650
625.0000	96.66940
626.0000	96.92890
627.0000	96.65550
628.0000	96.19000
629.0000	96.51770
630.0000	96.34450
631.0000	96.58400
632.0000	96.59050
633.0000	96.84180
634.0000	96.53940
635.0000	96.94150
636.0000	96.99190
637.0000	97.42310
638.0000	97.33260
639.0000	97.32260
640.0000	97.62500
641.0000	97.42820
642.0000	97.53220
643.0000	97.38190
644.0000	97.25210
645.0000	97.64110
646.0000	97.41470
647.0000	97.52270
648.0000	97.44730
649.0000	97.69110
