W,I,
306,19.05153847,
307.0700073,19.23967743,
308,19.36774254,
309.0700073,19.58763123,
310,19.78479576,
311.0700073,19.56175804,
312,19.31933212,
313.0700073,18.65774345,
314,18.15690804,
315.0700073,17.34929657,
316,16.28071785,
317.0700073,15.1245203,
318,14.08346558,
319.0700073,13.14271355,
320,12.35520363,
321.0700073,11.86550426,
322,11.43707466,
323.0700073,11.07744026,
324,10.94293118,
325.0700073,10.86184502,
326,10.96840382,
327.0700073,10.6828928,
328,10.44166279,
329.0700073,10.20798683,
330,10.38413811,
331.0700073,10.90226841,
332,11.82984066,
333.0700073,13.04146385,
334,14.66915321,
335.0700073,16.54892921,
336,18.3462925,
337.0700073,20.06748581,
338,21.18218422,
339.0700073,21.86759186,
340,21.90226173,
341.0700073,21.2508297,
342,20.07462692,
343.0700073,18.44563866,
344,16.63826942,
345.0700073,14.808671,
346,13.37624454,
347.0700073,12.16584873,
348,11.28624535,
349.0700073,10.90647221,
350,10.81378078,
351.0599976,11.04819107,
351.9599915,11.53720093,
353.0299988,12.29858685,
353.9299927,13.0942831,
355,14.1790905,
356.0599976,15.23941898,
356.9599915,16.27877617,
358.0299988,17.09279823,
358.9299927,17.68381691,
360,17.89548683,
361.0700073,17.77712059,
362,17.33533478,
363.0700073,16.50296974,
364,15.57846832,
365.0700073,14.66387749,
366,13.80830193,
367.0700073,13.10886478,
368,12.6170435,
369.0700073,12.37320328,
370,12.38940525,
371.0599976,12.64292431,
371.9599915,12.99878407,
373.0299988,13.56997299,
373.9299927,14.06952667,
375,14.44167042,
376.0599976,14.65257359,
376.9599915,14.9244976,
378.0299988,14.89966869,
378.9299927,14.76567936,
380,14.72393417,
381.0700073,14.72143745,
382,14.96996975,
383.0700073,15.37923241,
384,16.25985336,
385.0700073,17.41598129,
386,18.95514297,
387.0700073,20.94991112,
388,23.31150055,
389.0700073,25.85590935,
390,28.25735855,
391.0599976,30.53446579,
391.9599915,32.40533066,
393.0299988,33.68590164,
393.9299927,34.39722443,
395,34.47441101,
396.0599976,33.88926697,
396.9599915,32.69042587,
398.0299988,31.20114136,
398.9299927,29.62900162,
400,27.97410202,
401.0599976,26.16182327,
401.9599915,24.56995964,
403.0299988,22.99025345,
403.9299927,21.56917191,
405,20.51349831,
406.0599976,19.71731758,
406.9599915,19.13183403,
408.0299988,18.707798,
408.9299927,18.42408943,
410,18.37623596,
411.0599976,18.51607323,
411.9599915,18.76832771,
413.0299988,19.32264709,
413.9299927,20.16932106,
415,21.25829887,
416.0599976,22.70433235,
416.9599915,24.44869804,
418.0299988,26.13818932,
418.9299927,27.74492073,
420,28.86863327,
421.0599976,29.59984207,
421.9599915,29.80853653,
423.0299988,29.44022369,
423.9299927,28.57095337,
425,27.27765846,
426.0599976,25.71022987,
426.9599915,24.2384758,
428.0299988,23.06289673,
428.9299927,22.06581306,
430,21.41586876,
431.0400085,20.85758018,
431.9400024,20.42693901,
432.980011,20.38316917,
434.019989,20.48572159,
435.0700073,20.7885704,
435.9700012,21.13394737,
437.0100098,21.33594131,
438.0499878,21.67647171,
438.9500122,22.08013153,
440,22.77985382,
441.0599976,23.52732658,
441.9599915,24.6420517,
443.0299988,25.92954636,
443.9299927,27.33613968,
445,28.77198601,
446.0599976,30.16687393,
446.9599915,31.31780815,
448.0299988,32.08407211,
448.9299927,32.28202057,
450,31.87291336,
451.0599976,30.88909912,
451.9599915,29.7334919,
453.0299988,28.47076988,
453.9299927,27.57241631,
455,26.85424232,
456.0599976,26.08342743,
456.9599915,25.36600113,
458.0299988,24.71884155,
458.9299927,23.956604,
460,23.04346657,
461.0400085,22.02262878,
461.9400024,20.82753944,
462.980011,19.62867737,
464.019989,18.4072113,
465.0700073,17.37849045,
465.9700012,16.6989994,
467.0100098,15.99458599,
468.0499878,15.34763336,
468.9500122,14.69052792,
470,14.06011581,
471.0400085,13.39584732,
471.9400024,12.91893387,
472.980011,12.46458721,
474.019989,12.03124428,
475.0700073,11.71194744,
475.9700012,11.53817081,
477.0100098,11.71173668,
478.0499878,12.15882206,
478.9500122,13.15587521,
480,14.47826672,
481.0400085,15.89334393,
481.9400024,17.37353325,
482.980011,18.71218872,
484.019989,19.65688133,
485.0700073,20.11233711,
485.9700012,20.15200043,
487.0100098,19.67437363,
488.0499878,18.93741608,
488.9500122,17.94595528,
490,16.91516876,
491.0400085,16.0984745,
491.9400024,15.35845184,
492.980011,14.68323421,
494.019989,14.12676811,
495.0700073,13.60298443,
495.9700012,13.05773449,
497.0100098,12.60126972,
498.0499878,12.16180801,
498.9500122,11.51120949,
500,10.9743185,
501.0400085,10.42991638,
501.9400024,9.846718788,
502.980011,9.309402466,
504.019989,8.874341965,
505.0700073,8.504977226,
505.9700012,8.207182884,
507.0100098,8.055541992,
508.0499878,7.95744276,
508.9500122,7.85682869,
510,7.790474415,
511.0400085,7.624394894,
511.9400024,7.613737106,
512.9799805,7.651520729,
514.0200195,7.647918224,
515.0700073,7.719931126,
515.9699707,7.808418274,
517.0100098,7.913738251,
518.0499878,7.928852558,
518.9500122,7.851652622,
520,7.807558537,
521.0200195,7.823734283,
522.0499878,8.066594124,
522.9400024,8.368008614,
523.9699707,9.003648758,
525,9.782525063,
526.0200195,10.59726524,
527.0499878,11.31472588,
527.9400024,11.99247074,
528.9699707,12.45195866,
530,12.67880821,
531.039978,12.61001873,
531.9400024,12.39564323,
532.9799805,12.02922821,
534.0200195,11.66678524,
535.0700073,11.26887417,
535.9699707,11.01381302,
537.0100098,10.80448914,
538.0499878,10.70689201,
538.9500122,10.57826424,
540,10.57586098,
541.0200195,10.45631313,
542.0499878,10.26973343,
542.9400024,9.978541374,
543.9699707,9.579964638,
545,8.954504967,
546.0200195,8.217761993,
547.0499878,7.499846458,
547.9400024,6.796479702,
548.9699707,6.230154037,
550,5.868946075,
551.0200195,5.546647549,
552.0499878,5.293619633,
552.9400024,5.069932938,
553.9699707,4.861505985,
555,4.774537086,
556.0200195,4.699965954,
557.0499878,4.521389961,
557.9400024,4.345155716,
558.9699707,4.27773428,
560,4.185595512,
561.0200195,4.170379639,
562.0499878,4.21389246,
562.9400024,4.326337337,
563.9699707,4.524171352,
565,4.707363129,
566.0200195,4.738001347,
567.0499878,4.779498577,
567.9400024,4.790869713,
568.9699707,4.726545811,
570,4.621664524,
571.0100098,4.480230331,
572.0200195,4.251545906,
573.039978,4.051177502,
574.0499878,3.922146082,
575.0700073,3.807336807,
575.9400024,3.71438098,
576.9500122,3.552944899,
577.9699707,3.316799879,
578.9799805,3.153849125,
580,3.012409925,
581.0200195,2.853804827,
582.0499878,2.728719234,
582.9400024,2.619537115,
583.9699707,2.52342844,
585,2.453222752,
586.0200195,2.438611746,
587.0499878,2.380924702,
587.9400024,2.347332478,
588.9699707,2.385351896,
590,2.43680644,
591.0100098,2.530192614,
592.0200195,2.623071432,
593.039978,2.700897932,
594.0499878,2.780473709,
595.0700073,2.826920986,
595.9400024,2.76611042,
596.9500122,2.735675573,
597.9699707,2.677796364,
598.9799805,2.611165285,
600,2.5738132,
601.0100098,2.649376154,
602.0200195,2.699022532,
603.039978,2.804025888,
604.0499878,2.904628277,
605.0700073,2.91093874,
605.9400024,2.915810108,
606.9500122,2.885485649,
607.9699707,2.804743052,
608.9799805,2.756467342,
610,2.65652895,
611.0100098,2.521850586,
612.0200195,2.420094728,
613.039978,2.270474672,
614.0499878,2.147102356,
615.0700073,2.0804286,
615.9400024,1.989868522,
616.9500122,1.899513721,
617.9699707,1.832861423,
618.9799805,1.819501877,
620,1.808555841,
621.0100098,1.796884775,
622.0200195,1.798447132,
623.039978,1.804386258,
624.0499878,1.835255504,
625.0700073,1.790110946,
625.9400024,1.842986584,
626.9500122,1.876539946,
627.9699707,1.892426968,
628.9799805,1.930602312,
630,1.885304332,
631,1.869923949,
632,1.856583953,
633,1.847019196,
634,1.844758391,
635,1.785144925,
636,1.723697424,
637,1.617073417,
638,1.519891262,
639,1.406114936,
640,1.268630505,
641.0100098,1.19769609,
642.0200195,1.114062071,
643.039978,1.087890387,
644.0499878,1.080664754,
645.0700073,1.134188771,
645.9400024,1.153494835,
646.9500122,1.170143962,
647.9699707,1.176956177,
648.9799805,1.135422349,
650,1.147863865,
651,1.15191102,
652,1.132745028,
653,1.132255077,
654,1.112552643,
655,1.091204047,
656,1.103237748,
657,1.171939135,
658,1.192713499,
659,1.201908112,
660,1.147276998,
661,1.154433727,
662,1.151512623,
663,1.148456454,
664,1.124635816,
665,1.06108892,
666,1.009124398,
667,0.9855712056,
668,0.9471285939,
669,0.9707729816,
670,0.9327685237,
670.9799805,0.8907513022,
671.9699707,0.8575847745,
672.9500122,0.8830904365,
673.9400024,0.8931695819,
675.0700073,0.9335272908,
676.0499878,0.9934997559,
677.039978,1.014079213,
678.0200195,1.07226038,
679.0100098,1.116916299,
680,1.118050456,
681,1.184679151,
682,1.161164045,
683,1.140350223,
684,1.104429603,
685,1.081842184,
686,1.061541796,
687,1.027151346,
688,1.061058044,
689,1.059322953,
690,1.074133515,
690.9799805,1.095110655,
691.9699707,1.103175044,
692.9500122,1.168194413,
693.9400024,1.235248566,
695.0700073,1.345751166,
696.0499878,1.479722738,
697.039978,1.597689509,
698.0200195,1.622156143,
699.0100098,1.651025414,
700,1.655651927,
700.9799805,1.584993839,
701.9699707,1.510055065,
702.9500122,1.440324903,
703.9400024,1.381083727,
705.0700073,1.338572979,
706.0499878,1.379924297,
707.039978,1.458072066,
708.0200195,1.512258887,
709.0100098,1.549748778,
710,1.565519571,
710.9799805,1.614439487,
711.9699707,1.649657726,
712.9500122,1.667832136,
713.9400024,1.678396225,
715.0700073,1.681828976,
716.0499878,1.703445673,
717.039978,1.614126563,
718.0200195,1.585146308,
719.0100098,1.507985592,
720,1.413965225,
720.9699707,1.337620974,
721.9400024,1.323133588,
723.0499878,1.313199043,
724.0200195,1.379706144,
725,1.413926601,
725.9699707,1.485139728,
726.9400024,1.56703341,
728.0499878,1.675616264,
729.0200195,1.677350998,
730,1.708030939,
730.9699707,1.6934129,
731.9400024,1.669547796,
733.0499878,1.623575211,
734.0200195,1.581694365,
735,1.497587442,
735.9699707,1.440504313,
736.9400024,1.382172823,
738.0499878,1.359827876,
739.0200195,1.31530416,
740,1.299771786,
740.9699707,1.245123982,
741.9400024,1.216380954,
743.0499878,1.160257339,
744.0200195,1.151967049,
745,1.159027219,
745.9699707,1.147989631,
746.9400024,1.090388656,
748.0499878,1.094770789,
749.0200195,1.11471343,
750,1.135421515,
750.9699707,1.143139243,
751.9400024,1.134454489,
753.0499878,1.105238199,
754.0200195,1.068542361,
755,1.032715797,
755.9699707,1.0655334,
756.9400024,1.075701952,
758.0499878,1.107436657,
759.0200195,1.12721324,
760,1.177201629,
760.9500122,1.224769831,
762.0499878,1.263546824,
763.0100098,1.246470213,
763.9699707,1.207458735,
765.0599976,1.143330574,
766.0200195,1.068771839,
766.9799805,1.02039516,
767.9400024,0.9665137529,
769.039978,0.8830828667,
770,0.870770812,
770.9699707,0.8403087258,
771.9400024,0.8223134875,
773.0499878,0.8589279056,
774.0200195,0.8482704759,
775,0.8372029662,
775.9699707,0.8324085474,
776.9400024,0.8179607391,
778.0499878,0.8097618818,
779.0200195,0.7855107784,
780,0.7730497122,
780.9400024,0.7273503542,
782.0200195,0.6996059418,
782.9699707,0.6923455596,
784.0499878,0.7016453147,
785,0.7155191898,
785.9400024,0.7236397266,
787.0200195,0.7474551201,
787.9699707,0.7387823462,
789.0499878,0.7333855033,
790,0.7264928222,
790.9500122,0.7442154884,
792.0499878,0.7568123937,
793.0100098,0.7059953213,
793.9699707,0.6825618744,
